numero,tipo_registro,nome,compositor,edicao,tonalidade,armadura,compasso,andamento,andamento_figura,andamento_min,andamento_max,voz_violino,oitava_violino,arcadas,ritornello,final,fonte,arquivo,pdf_pagina,observacoes
337,HINO,Por fé seguimos ao Senhor,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,70,
338,HINO,O Senhor é sempiterno,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,72,
339,HINO,Glória sem par,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,73,
340,HINO,No mundo sou peregrino,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,74,
341,HINO,Com fé espera no Senhor,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,75,
342,HINO,Sião celestial,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,76,
343,HINO,Lá no céu cantaremos,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,78,
344,HINO,Vou encontrar meu Deus,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,79,
345,HINO,Regozijo-me em falar do Salvador,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,80,
346,HINO,Longe do mal e perto de Ti,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,81,
347,HINO,"Ontem, hoje e eternamente",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,82,
348,HINO,"Em Cristo espera, sem vacilar",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,84,
349,HINO,Irmãos amados,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,85,
350,HINO,A jornada farei,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,86,
351,HINO,"Senhor, à Tua presença",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,87,
352,HINO,Sinto viva esperança,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,88,
353,HINO,Eleitos nós somos,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,89,
354,HINO,Jerusalém celestial!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,90,
355,HINO,"A Ti, Deus, eu consagrei-me",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,91,
356,HINO,Por preço elevado Jesus resgatou-me,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,92,
357,HINO,Face a face O verei,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,93,
358,HINO,O Teu precioso sangue,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,94,
359,HINO,"Ó irmãos, de Deus diletos",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,95,
360,HINO,Do mal apartados devemos estar,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,96,
361,HINO,Tudo entende o Salvador,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,97,
362,HINO,Que bela herança!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,98,
363,HINO,"Aos Teus pés estou, Senhor",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,99,
364,HINO,Os tempos já chegados são...,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_301_a_400.pdf,100,
460,HINO,Vamos todos juntos cantar,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,1,
461,HINO,Abrigado em Jesus,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,2,
462,HINO,Gloriosa é a história,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,3,
463,HINO,Mocidade! Vamos combater!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,4,
464,HINO,Reunidos nós estamos,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,5,
465,HINO,Deus tem por nós imenso amor,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,6,
466,HINO,A criança consagrada,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,7,
467,HINO,Vamos com Jesus,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,8,
468,HINO,Toda a criança...,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,9,
469,HINO,"Pai nosso, que estás nos céus",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,10,
470,HINO,"Jesus Cristo, Seus fiéis, ensina",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,11,
471,HINO,Que grande bem é andar com Cristo!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,12,
472,HINO,"Glorificarei, glorificarei",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,13,
473,HINO,Forasteiro sou no mundo,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,14,
474,HINO,Oh! Glória! Bendito é o Senhor!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,15,
475,HINO,Se eu for aqui provado,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,16,
476,HINO,"""Deixai a Mim vir os pequeninos...""",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,17,
477,HINO,"Vinde, crianças",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,18,
478,HINO,Cedo retorna o Senhor,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,19,
479,HINO,Somos jovens consagrados,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,20,
480,HINO,"Jovens, amai o conselho",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,21,
1,CORO,Aleluia! Aleluia!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,32,CORO
2,CORO,Toda a glória a Jesus,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,33,CORO
3,CORO,Ação de graças darei,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,33,CORO
4,CORO,"Glória, glória nas alturas!",,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,34,CORO
5,CORO,Majestoso é Cristo Jesus!,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,34,CORO
6,CORO,A Jesus eu cantarei louvor,,órgão,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,,,,soprano,uma oitava acima,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,VALIDAÇÃO NECESSÁRIA,Hinário CCB nº 5,Hinario-CCB-5-orgao_501-535.pdf,35,CORO
